IncidentNumber,DateOfCall,CalYear,HourOfCall,IncGeo_BoroughName,Easting_rounded,Northing_rounded,AttendanceTime,DeployedFromStation,lat_cal,long_cal,lat_cal_r,long_cal_r,stat,lat,long,bor_sqkm,pop_per_stat,distance_stat,distance,AttendanceTimeClasses3
062113-04052023,2023-05-04,2023,14,WESTMINSTER,528850,178350,345.0,Lambeth,inf,inf,51.48942578991436,-0.1455156901023797,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,3340.0840550051,3-6min
204029-28122023,2023-12-28,2023,6,EALING,512250,183650,372.0,Northolt,inf,inf,51.540597089824885,-0.3828159226127174,Northolt,51.55491,-0.35947,55.53,91532.0,16923.24105510712,2271.2327739216453,6-9min
147809-23092023,2023-09-23,2023,18,RICHMOND UPON THAMES,516150,173250,288.0,Twickenham,51.44675381244009,-0.32959224256018566,51.44633733187423,-0.3300247680384852,Twickenham,51.4674071,-0.3199681,57.41,97616.0,14048.66163547699,2391.7161651934302,3-6min
068994-17052023,2023-05-17,2023,12,SOUTHWARK,534450,176850,162.0,New Cross,51.474409785521416,-0.06492398389926395,51.474643705800496,-0.06547568438983901,New Cross,51.47373132,-0.04923807,35.15,74952.0,6577.655665872406,1090.2629365283542,0-3min
152688-02102023,2023-10-02,2023,3,WANDSWORTH,526250,175550,189.0,Battersea,inf,inf,51.46484818193697,-0.18394377074903553,Battersea,51.4671185,-0.1876668,34.26,109456.0,6105.024929730367,361.5772538132969,3-6min
016700-03022023,2023-02-03,2023,1,HARINGEY,528350,190050,451.0,Hornsey,51.59454342853555,-0.14809522602886988,51.59468391884644,-0.14845045668220383,Hornsey,51.58665,-0.12698,29.59,132065.0,8842.858362850997,1705.2758078339955,6-9min
069530-18052023,2023-05-18,2023,13,ENFIELD,533750,193850,6.0,Edmonton,51.62722621922972,-0.06911991990284451,51.62757644190927,-0.06909060077558118,Edmonton,51.62735,-0.06927,80.84,109867.0,13967.778520302169,18.05673240011241,0-3min
104370-13072023,2023-07-13,2023,9,LAMBETH,530750,177250,285.0,Lambeth,inf,inf,51.479104763773194,-0.1185719341115249,Lambeth,51.4634153,-0.1215096,26.82,63500.0,4890.8718638849405,1757.4612870066646,3-6min
157481-10102023,2023-10-10,2023,7,HAMMERSMITH AND FULHAM,525050,176950,54.0,Fulham,51.477906922360205,-0.20096529977057975,51.47769624505945,-0.20071437638508843,Fulham,51.4779579,-0.2010297,16.4,91648.0,6044.457462088725,8.750176819483155,0-3min
177934-13112023,2023-11-13,2023,7,TOWER HAMLETS,534250,181450,375.0,Shadwell,inf,inf,51.51602837863724,-0.06660530358727988,Shadwell,51.510868,-0.055828,19.77,62455.0,4981.476274561277,943.0667845422561,6-9min
154876-05102023,2023-10-05,2023,21,BEXLEY,547850,179350,460.0,Plumstead,inf,inf,51.493766968202735,0.1283771669033791,Plumstead,51.48742785,0.09135732,47.35,57851.0,15319.13487631769,2666.1798024237487,6-9min
077408-01062023,2023-06-01,2023,0,BRENT,525150,182750,316.0,Paddington,inf,inf,51.52979880485031,-0.19721922537365902,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1452.720895627431,3-6min
162082-17102023,2023-10-17,2023,16,ENFIELD,534550,196650,205.0,Enfield,51.6525851323139,-0.056058049367542925,51.652546897953755,-0.05646446360650169,Enfield,51.660474,-0.051915,80.84,109867.0,17844.784030425766,921.5400818904974,3-6min
182481-21112023,2023-11-21,2023,8,ISLINGTON,531750,183550,635.0,Shoreditch,51.53582869637004,-0.1023192286262364,51.53548803730352,-0.10182872764724826,Shoreditch,51.526625,-0.084321,19.06,86652.0,3690.5814748025655,1613.806174771236,9-12min
081749-08062023,2023-06-08,2023,8,LEWISHAM,536350,177050,353.0,Deptford,51.47577956505694,-0.037505284553892106,51.475986654329695,-0.03805801435337743,Deptford,51.48489956,-0.03380805,35.15,74952.0,6948.464184782571,1045.837192942316,3-6min
177505-12112023,2023-11-12,2023,17,HACKNEY,534450,186650,260.0,Stoke Newington,inf,inf,51.56270940951668,-0.06174030950046051,Stoke Newington,51.562056,-0.07653,19.06,86652.0,7052.842221705138,1028.1743323095914,3-6min
060555-01052023,2023-05-01,2023,13,KENSINGTON AND CHELSEA,527350,179350,238.0,Chelsea,51.49846837883598,-0.16642831541672695,51.49875214863458,-0.1667482974433734,Chelsea,51.4871072,-0.1728153,12.13,47980.0,3854.144421682529,1340.9439409138815,3-6min
150326-28092023,2023-09-28,2023,1,SOUTHWARK,534950,178150,241.0,Old Kent Road,inf,inf,51.48620699512273,-0.05778447774396175,Old Kent Road,51.48695786,-0.07366975,28.85,102125.0,4356.591980686375,1106.5632747070592,3-6min
002951-07012023,2023-01-07,2023,6,CROYDON,532250,167050,338.0,Croydon,inf,inf,51.387092924977225,-0.10078978310840511,Croydon,51.36904316,-0.10502934,86.52,78101.0,15455.437048077774,2029.7146421930518,3-6min
036129-13032023,2023-03-13,2023,17,GREENWICH,545650,180050,550.0,Erith,inf,inf,51.5006273215346,0.0969980044242141,Erith,51.48542163,0.15658503,60.56,82181.0,19827.293499317268,4470.822266749326,9-12min
144287-18092023,2023-09-18,2023,7,HILLINGDON,505750,182550,431.0,Hillingdon,inf,inf,51.53196397132696,-0.4768353470361359,Hillingdon,51.53228,-0.45221,115.7,76198.0,22665.210491894057,1709.156154883642,6-9min
203977-28122023,2023-12-28,2023,0,HACKNEY,533350,183750,281.0,Shoreditch,inf,inf,51.53690998583366,-0.0786981945068492,Shoreditch,51.526625,-0.084321,19.06,86652.0,3690.5814748025655,1208.9841342143206,3-6min
191881-06122023,2023-12-06,2023,21,ISLINGTON,531250,186650,219.0,Holloway,inf,inf,51.56346249700233,-0.10787795721799129,Holloway,51.561766,-0.116461,14.86,108384.0,6121.146116041655,624.4057332801186,3-6min
085887-13062023,2023-06-13,2023,21,LEWISHAM,537550,175750,315.0,Lewisham,inf,inf,51.464014442749935,-0.021295503580025126,Lewisham,51.45686739,-0.01361552,35.15,74952.0,9675.507202337956,957.6968925256386,3-6min
094227-26062023,2023-06-26,2023,13,WESTMINSTER,527950,181450,448.0,Paddington,51.517472223795856,-0.1574207984602874,51.517489065952184,-0.1573480520284018,Paddington,51.5202041,-0.183022,21.48,102544.0,4109.333901321731,1804.521252108869,6-9min
